session,001
enumerator,Sam-10
desk,TEST
debug,False
population,church
insurance,True
subgroup,AoG Shammah
age,
gender,
birthplace,
accra,
married,
ethnicity,
ethnicity_other,99
education,
left_ghana,
left_ghana_location,99
work_status,
work_status_other,99
work_sector,
work_sector_other,99
income_source,
income_source_other,99
weekly_monthly,
income_individual,6
income_month_household,
financial_decision,
financial_decision_other,99
care_0,0
care_1,0
care_2,0
care_3,0
care_4,0
care_live_0,0
care_live_1,0
care_live_2,0
care_live_3,0
care_live_4,0
transport_weekly,
food_weekly,
monthly_expenses_0,0
monthly_expenses_1,0
monthly_expenses_2,0
monthly_expenses_amount_0,na
monthly_expenses_amount_1,na
monthly_expenses_amount_2,na
business_investment,
business_ownership,
business_length,99
business_employees,99
religion,
religion_other,99
religion_birth,
denomination,
denomination_other,Marvellous twinky
different_church,
church_reasons_0,0
church_reasons_1,0
church_reasons_2,0
church_reasons_3,0
church_reasons_4,0
church_reasons_5,0
church_reasons_6,0
church_reasons_7,0
church_reasons_8,0
church_reasons_9,0
church_reasons_other,99
church_assistance,99
church_attendance,99
church_ministry_0,0
church_ministry_1,0
church_ministry_2,0
church_ministry_3,0
church_ministry_4,0
church_ministry_5,0
church_ministry_6,0
church_ministry_7,0
church_ministry_8,0
church_ministry_9,0
church_ministry_10,0
church_ministry_hours_0,na
church_ministry_hours_1,na
church_ministry_hours_2,na
church_ministry_hours_3,na
church_ministry_hours_4,na
church_ministry_hours_5,na
church_ministry_hours_6,na
church_ministry_hours_7,na
church_ministry_hours_8,na
church_ministry_hours_9,na
church_ministry_hours_10,na
church_length,99
church_distance,99
church_move,99
church_convince_0,0
church_convince_1,0
church_convince_2,0
church_convince_3,0
church_convince_4,0
church_convince_5,0
pray,99
food,99
alcohol,99
alcohol_reasons,99
clothing,99
newborn_0,0
newborn_1,0
newborn_2,0
newborn_3,0
newborn_4,0
newborn_5,0
newborn_other,99
family_death,99
family_death_other,99
spiritual_attack,99
church_giving,99
tithes,99
church_debt,99
charity,99
god_finances,99
closefriends,99
coworkers,99
business_partners,99
help_family_0,0
help_family_1,0
help_family_2,0
help_family_3,0
help_family_4,0
help_family_5,0
help_family_6,0
help_family_7,0
help_family_8,0
help_family_9,0
help_family_other,99
help_financial_0,0
help_financial_1,0
help_financial_2,0
help_financial_3,0
help_financial_4,0
help_financial_5,0
help_financial_6,0
help_financial_7,0
help_financial_8,0
help_financial_other,99
help_health_0,0
help_health_1,0
help_health_2,0
help_health_3,0
help_health_4,0
help_health_5,0
help_health_6,0
help_health_7,0
help_health_8,0
help_health_9,0
help_health_10,0
help_health_other,99
prayercamp,99
clubs,99
political_affiliation,99
political_taxes,99
spouse,99
spouse_other,99
trust_ghana,99
trust_ghana_govt,99
nih,99
nih_reason,99
other_insurance,99
other_insurance_specify,99
time,11020500
